key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-fundraiser-00,true,"UserIdentity{name: 'Carlos', surname: 'Mendoza', email: 'fundraiser00@acme.com'}",fundraiser0,fundraiser0
user-account-fundraiser-01,true,"UserIdentity{name: 'Lucía', surname: 'Navarro', email: 'fundraiser01@acme.com'}",fundraiser1,fundraiser1
user-account-fundraiser-02,true,"UserIdentity{name: 'Javier', surname: 'Ortega', email: 'fundraiser02@acme.com'}",fundraiser2,fundraiser2
user-account-fundraiser-03,true,"UserIdentity{name: 'Sofía', surname: 'Romero', email: 'fundraiser03@acme.com'}",fundraiser3,fundraiser3
user-account-fundraiser-04,true,"UserIdentity{name: 'Diego', surname: 'Herrera', email: 'fundraiser04@acme.com'}",fundraiser4,fundraiser4
user-account-fundraiser-05,true,"UserIdentity{name: 'Valentina', surname: 'Castro', email: 'fundraiser05@acme.com'}",fundraiser5,fundraiser5
user-account-fundraiser-06,true,"UserIdentity{name: 'Mateo', surname: 'Vargas', email: 'fundraiser06@acme.com'}",fundraiser6,fundraiser6
user-account-fundraiser-07,true,"UserIdentity{name: 'Daniela', surname: 'Suárez', email: 'fundraiser07@acme.com'}",fundraiser7,fundraiser7
user-account-fundraiser-08,true,"UserIdentity{name: 'Alejandro', surname: 'Ríos', email: 'fundraiser08@acme.com'}",fundraiser8,fundraiser8
user-account-fundraiser-09,true,"UserIdentity{name: 'Camila', surname: 'Morales', email: 'fundraiser09@acme.com'}",fundraiser9,fundraiser9
user-account-fundraiser-10,true,"UserIdentity{name: 'Andrés', surname: 'Silva', email: 'fundraiser10@acme.com'}",fundraiser10,fundraiser10
user-account-fundraiser-11,true,"UserIdentity{name: 'Paula', surname: 'Jiménez', email: 'fundraiser11@acme.com'}",fundraiser11,fundraiser11
user-account-fundraiser-12,true,"UserIdentity{name: 'Fernando', surname: 'Torres', email: 'fundraiser12@acme.com'}",fundraiser12,fundraiser12
user-account-fundraiser-13,true,"UserIdentity{name: 'Elena', surname: 'Gómez', email: 'fundraiser13@acme.com'}",fundraiser13,fundraiser13
user-account-fundraiser-14,true,"UserIdentity{name: 'Hugo', surname: 'Martín', email: 'fundraiser14@acme.com'}",fundraiser14,fundraiser14
user-account-fundraiser-15,true,"UserIdentity{name: 'Marina', surname: 'Lorenzo', email: 'fundraiser15@acme.com'}",fundraiser15,fundraiser15
user-account-fundraiser-16,true,"UserIdentity{name: 'Iván', surname: 'Santos', email: 'fundraiser16@acme.com'}",fundraiser16,fundraiser16
user-account-fundraiser-17,true,"UserIdentity{name: 'Claudia', surname: 'Cortés', email: 'fundraiser17@acme.com'}",fundraiser17,fundraiser17
user-account-fundraiser-18,true,"UserIdentity{name: 'Ricardo', surname: 'Delgado', email: 'fundraiser18@acme.com'}",fundraiser18,fundraiser18
user-account-fundraiser-19,true,"UserIdentity{name: 'Natalia', surname: 'Peña', email: 'fundraiser19@acme.com'}",fundraiser19,fundraiser19
user-account-fundraiser-20,true,"UserIdentity{name: 'Gabriel', surname: 'Reyes', email: 'fundraiser20@acme.com'}",fundraiser20,fundraiser20
user-account-fundraiser-21,true,"UserIdentity{name: 'Laura', surname: 'Iglesias', email: 'fundraiser21@acme.com'}",fundraiser21,fundraiser21
user-account-fundraiser-22,true,"UserIdentity{name: 'Sergio', surname: 'Molina', email: 'fundraiser22@acme.com'}",fundraiser22,fundraiser22
user-account-fundraiser-23,true,"UserIdentity{name: 'Patricia', surname: 'Ruiz', email: 'fundraiser23@acme.com'}",fundraiser23,fundraiser23
